sentence,tags,tokens,numeric_tags
CASE: A 28-year-old previously healthy man presented with a 6-week history of palpitations.,"['O', 'O', 'B-Age', 'B-History', 'I-History', 'B-Sex', 'B-Clinical_event', 'O', 'O', 'B-Duration', 'O', 'O', 'B-Sign_symptom']","['case', 'a', '28-year-old', 'previously', 'healthy', 'man', 'presented', 'with', 'a', '6-week', 'history', 'of', 'palpitations']","[0, 0, 1, 15, 16, 3, 5, 0, 0, 37, 0, 0, 9]"
"The symptoms occurred during rest, 2–3 times per week, lasted up to 30 minutes at a time and were associated with dyspnea.","['O', 'B-Coreference', 'O', 'O', 'B-Clinical_event', 'B-Frequency', 'I-Frequency', 'I-Frequency', 'I-Frequency', 'O', 'B-Detailed_description', 'I-Detailed_description', 'I-Detailed_description', 'I-Detailed_description', 'I-Detailed_description', 'O', 'I-Detailed_description', 'O', 'O', 'O', 'O', 'B-Sign_symptom']","['the', 'symptoms', 'occurred', 'during', 'rest', '2–3', 'times', 'per', 'week', 'lasted', 'up', 'to', '30', 'minutes', 'at', 'a', 'time', 'and', 'were', 'associated', 'with', 'dyspnea']","[0, 29, 0, 0, 5, 43, 44, 44, 44, 0, 13, 14, 14, 14, 14, 0, 14, 0, 0, 0, 0, 9]"
"Except for a grade 2/6 holosystolic tricuspid regurgitation murmur (best heard at the left sternal border with inspiratory accentuation), physical examination yielded unremarkable findings.","['O', 'O', 'O', 'B-Lab_value', 'I-Lab_value', 'B-Detailed_description', 'B-Biological_structure', 'B-Sign_symptom', 'I-Sign_symptom', 'O', 'O', 'O', 'O', 'B-Biological_structure', 'I-Biological_structure', 'I-Biological_structure', 'O', 'B-Detailed_description', 'I-Detailed_description', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'O', 'B-Lab_value', 'O']","['except', 'for', 'a', 'grade', '2/6', 'holosystolic', 'tricuspid', 'regurgitation', 'murmur', 'best', 'heard', 'at', 'the', 'left', 'sternal', 'border', 'with', 'inspiratory', 'accentuation', 'physical', 'examination', 'yielded', 'unremarkable', 'findings']","[0, 0, 0, 23, 24, 13, 11, 9, 10, 0, 0, 0, 0, 11, 12, 12, 0, 13, 14, 19, 20, 0, 23, 0]"
"An electrocardiogram (ECG) revealed normal sinus rhythm and a Wolff– Parkinson– White pre-excitation pattern (Fig.1: Top), produced by a right-sided accessory pathway.","['O', 'B-Diagnostic_procedure', 'O', 'O', 'B-Lab_value', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'O', 'O', 'B-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'O', 'O', 'O', 'O', 'O', 'B-Detailed_description', 'B-Disease_disorder', 'I-Disease_disorder']","['an', 'electrocardiogram', 'ecg', 'revealed', 'normal', 'sinus', 'rhythm', 'and', 'a', 'wolff–', 'parkinson–', 'white', 'pre-excitation', 'pattern', 'fig1', 'top', 'produced', 'by', 'a', 'right-sided', 'accessory', 'pathway']","[0, 19, 0, 0, 23, 19, 20, 0, 0, 9, 10, 10, 10, 10, 0, 0, 0, 0, 0, 13, 25, 26]"
"Transthoracic echocardiography demonstrated the presence of Ebstein's anomaly of the tricuspid valve, with apical displacement of the valve and formation of an “atrialized” right ventricle (a functional unit between the right atrium and the inlet [inflow] portion of the right ventricle) (Fig.2).","['B-Biological_structure', 'B-Diagnostic_procedure', 'O', 'O', 'O', 'O', 'B-Disease_disorder', 'I-Disease_disorder', 'O', 'O', 'B-Biological_structure', 'I-Biological_structure', 'O', 'B-Sign_symptom', 'I-Sign_symptom', 'O', 'O', 'B-Coreference', 'O', 'O', 'O', 'O', 'O', 'B-Biological_structure', 'I-Biological_structure', 'O', 'O', 'O', 'O', 'O', 'B-Biological_structure', 'I-Biological_structure', 'O', 'O', 'B-Biological_structure', 'O', 'O', 'O', 'O', 'B-Biological_structure', 'I-Biological_structure', 'O']","['transthoracic', 'echocardiography', 'demonstrated', 'the', 'presence', 'of', ""ebstein's"", 'anomaly', 'of', 'the', 'tricuspid', 'valve', 'with', 'apical', 'displacement', 'of', 'the', 'valve', 'and', 'formation', 'of', 'an', '“atrialized”', 'right', 'ventricle', 'a', 'functional', 'unit', 'between', 'the', 'right', 'atrium', 'and', 'the', 'inlet', 'inflow', 'portion', 'of', 'the', 'right', 'ventricle', 'fig2']","[11, 19, 0, 0, 0, 0, 25, 26, 0, 0, 11, 12, 0, 9, 10, 0, 0, 29, 0, 0, 0, 0, 0, 11, 12, 0, 0, 0, 0, 0, 11, 12, 0, 0, 11, 0, 0, 0, 0, 11, 12, 0]"
"The anterior tricuspid valve leaflet was elongated (Fig.2C, arrow), whereas the septal leaflet was rudimentary (Fig.2C, arrowhead).","['O', 'B-Biological_structure', 'I-Biological_structure', 'I-Biological_structure', 'I-Biological_structure', 'O', 'B-Sign_symptom', 'O', 'O', 'O', 'O', 'B-Biological_structure', 'I-Biological_structure', 'O', 'B-Sign_symptom', 'O', 'O']","['the', 'anterior', 'tricuspid', 'valve', 'leaflet', 'was', 'elongated', 'fig2c', 'arrow', 'whereas', 'the', 'septal', 'leaflet', 'was', 'rudimentary', 'fig2c', 'arrowhead']","[0, 11, 12, 12, 12, 0, 9, 0, 0, 0, 0, 11, 12, 0, 9, 0, 0]"
Contrast echocardiography using saline revealed a patent foramen ovale with right-to-left shunting and bubbles in the left atrium (Fig.2D).,"['B-Detailed_description', 'B-Diagnostic_procedure', 'B-Detailed_description', 'I-Detailed_description', 'O', 'O', 'B-Disease_disorder', 'I-Disease_disorder', 'I-Disease_disorder', 'O', 'B-Sign_symptom', 'I-Sign_symptom', 'O', 'B-Sign_symptom', 'O', 'O', 'B-Biological_structure', 'I-Biological_structure', 'O']","['contrast', 'echocardiography', 'using', 'saline', 'revealed', 'a', 'patent', 'foramen', 'ovale', 'with', 'right-to-left', 'shunting', 'and', 'bubbles', 'in', 'the', 'left', 'atrium', 'fig2d']","[13, 19, 13, 14, 0, 0, 25, 26, 26, 0, 9, 10, 0, 9, 0, 0, 11, 12, 0]"
"The patient underwent an electrophysiologic study with mapping of the accessory pathway, followed by radiofrequency ablation (interruption of the pathway using the heat generated by electromagnetic waves at the tip of an ablation catheter).","['O', 'O', 'O', 'O', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'O', 'B-Diagnostic_procedure', 'O', 'O', 'B-Biological_structure', 'I-Biological_structure', 'O', 'O', 'B-Detailed_description', 'B-Therapeutic_procedure', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Therapeutic_procedure', 'I-Therapeutic_procedure']","['the', 'patient', 'underwent', 'an', 'electrophysiologic', 'study', 'with', 'mapping', 'of', 'the', 'accessory', 'pathway', 'followed', 'by', 'radiofrequency', 'ablation', 'interruption', 'of', 'the', 'pathway', 'using', 'the', 'heat', 'generated', 'by', 'electromagnetic', 'waves', 'at', 'the', 'tip', 'of', 'an', 'ablation', 'catheter']","[0, 0, 0, 0, 19, 20, 0, 19, 0, 0, 11, 12, 0, 0, 13, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 34]"
"His post-ablation ECG showed a prolonged PR interval and an odd “second” QRS complex in leads III, aVF and V2–V4 (Fig.1Bottom), a consequence of abnormal impulse conduction in the “atrialized” right ventricle.","['O', 'O', 'B-Diagnostic_procedure', 'O', 'O', 'B-Lab_value', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'O', 'O', 'B-Lab_value', 'B-Lab_value', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'O', 'B-Detailed_description', 'O', 'I-Detailed_description', 'I-Detailed_description', 'I-Detailed_description', 'O', 'O', 'O', 'O', 'B-Disease_disorder', 'I-Disease_disorder', 'I-Disease_disorder', 'O', 'O', 'O', 'B-Biological_structure', 'I-Biological_structure']","['his', 'post-ablation', 'ecg', 'showed', 'a', 'prolonged', 'pr', 'interval', 'and', 'an', 'odd', '“second”', 'qrs', 'complex', 'in', 'leads', 'iii', 'avf', 'and', 'v2–v4', 'fig1bottom', 'a', 'consequence', 'of', 'abnormal', 'impulse', 'conduction', 'in', 'the', '“atrialized”', 'right', 'ventricle']","[0, 0, 19, 0, 0, 23, 19, 20, 0, 0, 23, 23, 19, 20, 0, 13, 0, 14, 14, 14, 0, 0, 0, 0, 25, 26, 26, 0, 0, 0, 11, 12]"
The patient reported no recurrence of palpitations at follow-up 6 months after the ablation.,"['O', 'O', 'O', 'O', 'O', 'O', 'B-Sign_symptom', 'O', 'B-Clinical_event', 'B-Date', 'I-Date', 'I-Date', 'O', 'O']","['the', 'patient', 'reported', 'no', 'recurrence', 'of', 'palpitations', 'at', 'follow-up', '6', 'months', 'after', 'the', 'ablation']","[0, 0, 0, 0, 0, 0, 9, 0, 5, 39, 40, 40, 0, 0]"
